Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
8924;23699;"Hypatia";journal;"08875367, 15272001";"Cambridge University Press";No;No;0,559;Q1;55;46;136;1993;203;132;1,22;43,33;66,07;1;United States;Northern America;"Cambridge University Press";"1986-1999, 2001-2002, 2004, 2006-2007, 2011-2026";"Gender Studies (Q1); Philosophy (Q1)";"Arts and Humanities; Social Sciences"
8925;24778;"Journal of Agricultural and Environmental Ethics";journal;"11877863, 1573322X";"Springer Science and Business Media B.V.";No;No;0,559;Q1;69;32;131;2030;382;130;2,73;63,44;41,03;9;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1991-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); History (Q1); Environmental Science (miscellaneous) (Q2); Environmental Chemistry (Q3)";"Agricultural and Biological Sciences; Arts and Humanities; Environmental Science"
8926;20324;"Journal of Educational Administration and History";journal;"14787431, 00220620";"Routledge";No;No;0,559;Q1;34;21;99;934;101;81;0,84;44,48;29,73;2;United Kingdom;Western Europe;"Routledge";"1968-2000, 2003, 2010-2026";"Sociology and Political Science (Q1); Education (Q2)";"Social Sciences"
8927;14979;"ACME";journal;"14929732";"Okanagan University College";Yes;Yes;0,559;Q2;51;41;138;2582;220;137;1,46;62,98;63,93;0;Canada;Northern America;"Okanagan University College";"2002-2004, 2006-2025";"Geography, Planning and Development (Q2)";"Social Sciences"
8928;16641;"Acta Physiologiae Plantarum";journal;"18611664, 01375881";"";No;No;0,559;Q2;113;164;586;9016;1793;586;2,83;54,98;41,51;0;Germany;Western Europe;"";"1985, 1987-1988, 1993-2026";"Agronomy and Crop Science (Q2); Plant Science (Q2); Physiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
8929;21170;"Clinical Biomechanics";journal;"18791271, 02680033";"Elsevier Ltd";No;No;0,559;Q2;157;203;737;8365;1689;725;2,13;41,21;30,29;4;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2026";"Biophysics (Q2); Orthopedics and Sports Medicine (Q2); Sports Science (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
8930;21100369845;"European Journal of Radiology Open";journal;"23520477";"Elsevier Ltd";Yes;No;0,559;Q2;33;83;183;2483;466;180;2,65;29,92;28,91;3;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2026";"Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine"
8931;27282;"Helgoland Marine Research";journal;"1438387X, 14383888";"BioMed Central Ltd";Yes;No;0,559;Q2;63;9;43;886;82;42;2,21;98,44;41,46;1;United Kingdom;Western Europe;"BioMed Central Ltd";"1996, 1999-2021";"Aquatic Science (Q2); Oceanography (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
8932;4000148504;"International Journal of Dental Hygiene";journal;"16015029, 16015037";"Wiley-Blackwell Publishing Ltd";No;No;0,559;Q2;54;51;177;1933;471;165;2,54;37,90;46,60;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2003-2026";"Dentistry (miscellaneous) (Q2)";"Dentistry"
8933;21100928676;"Journal of Family and Community Medicine";journal;"2229340X, 22308229";"Wolters Kluwer Medknow Publications";Yes;No;0,559;Q2;46;34;107;760;279;92;2,45;22,35;39,81;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"1996-2026";"Family Practice (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
8934;21100286919;"Journal of Water Reuse and Desalination";journal;"22201319, 24089370";"IWA Publishing";Yes;No;0,559;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"IWA Publishing";"2011-2021";"Filtration and Separation (Q2); Water Science and Technology (Q2)";"Chemical Engineering; Environmental Science"
8935;2900147403;"Optical Switching and Networking";journal;"15734277";"Elsevier B.V.";No;No;0,559;Q2;35;18;119;966;334;116;1,98;53,67;18,33;1;Netherlands;Western Europe;"Elsevier B.V.";"1970, 2005-2026";"Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2)";"Computer Science; Engineering"
8936;19762;"International Microbiology";journal;"16181905, 11396709";"Springer Science and Business Media Deutschland GmbH";Yes;No;0,559;Q3;79;57;136;3667;474;132;3,16;64,33;46,15;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1998-2026";"Microbiology (Q3); Microbiology (medical) (Q3)";"Immunology and Microbiology; Medicine"
8937;26843;"International Journal for the Psychology of Religion";journal;"10508619, 15327582";"Routledge";No;No;0,558;Q1;43;23;61;1006;136;57;2,59;43,74;38,78;2;United States;Northern America;"Routledge";"1991-1995, 2007-2026";"Religious Studies (Q1); Psychology (miscellaneous) (Q2)";"Arts and Humanities; Psychology"
8938;19600163400;"Social Work";journal;"15456846, 00378046";"Oxford University Press";No;No;0,558;Q1;88;49;140;1386;255;110;1,72;28,29;69,90;4;United States;Northern America;"Oxford University Press";"1956-2026";"Sociology and Political Science (Q1); Medicine (miscellaneous) (Q2); Social Work (Q2)";"Medicine; Social Sciences"
8939;21100826247;"Advances in Concrete Construction";journal;"2287531X, 22875301";"Techno-Press";No;No;0,558;Q2;36;97;204;4903;595;204;2,54;50,55;19,80;0;South Korea;Asiatic Region;"Techno-Press";"2016-2024";"Building and Construction (Q2); Civil and Structural Engineering (Q2); Mechanics of Materials (Q2); Safety, Risk, Reliability and Quality (Q2)";"Engineering"
8940;16728;"Aquatic Botany";journal;"03043770";"Elsevier B.V.";No;No;0,558;Q2;113;85;229;4303;490;228;1,92;50,62;45,25;11;Netherlands;Western Europe;"Elsevier B.V.";"1975-2026";"Aquatic Science (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences"
8941;12080;"Australian Health Review";journal;"14498944, 01565788";"CSIRO Publishing";No;No;0,558;Q2;63;127;345;3306;639;327;1,70;26,03;61,99;0;Australia;Pacific Region;"CSIRO Publishing";"1980-2025";"Health Policy (Q2)";"Medicine"
8942;21041;"Clinics in Colon and Rectal Surgery";journal;"15310043, 15309681";"Thieme Medical Publishers, Inc.";No;No;0,558;Q2;64;68;189;2501;474;158;2,40;36,78;39,09;0;United States;Northern America;"Thieme Medical Publishers, Inc.";"2001-2026";"Surgery (Q2); Gastroenterology (Q3)";"Medicine"
8943;5700165206;"Complex Analysis and Operator Theory";journal;"16618262, 16618254";"Springer International Publishing";No;No;0,558;Q2;32;124;391;3217;372;390;0,92;25,94;20,34;0;Switzerland;Western Europe;"Springer International Publishing";"2007-2026";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computational Theory and Mathematics (Q2)";"Computer Science; Mathematics"
8944;26117;"Gynecological Endocrinology";journal;"09513590, 14730766";"Taylor and Francis Ltd.";Yes;No;0,558;Q2;83;223;730;6831;1837;718;2,43;30,63;53,74;6;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2026";"Obstetrics and Gynecology (Q2); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
8945;19600157316;"Hormones and Cancer";journal;"18688500, 18688497";"Springer";No;No;0,558;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;United States;Northern America;"Springer";"2010-2020";"Medicine (miscellaneous) (Q2); Cancer Research (Q3); Endocrine and Autonomic Systems (Q3); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3); Oncology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
8946;21100905984;"Journal of Experimental Orthopaedics";journal;"21971153";"John Wiley and Sons Inc";Yes;No;0,558;Q2;45;117;195;4136;527;191;2,26;35,35;18,17;5;Germany;Western Europe;"John Wiley and Sons Inc";"2014-2026";"Orthopedics and Sports Medicine (Q2)";"Medicine"
8947;16284;"Journal of Hydrologic Engineering - ASCE";journal;"19435584, 10840699";"American Society of Civil Engineers (ASCE)";No;No;0,558;Q2;112;120;393;5520;812;350;2,07;46,00;24,63;0;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1996-2026";"Civil and Structural Engineering (Q2); Environmental Science (miscellaneous) (Q2); Water Science and Technology (Q2); Environmental Chemistry (Q3)";"Engineering; Environmental Science"
8948;21100833027;"Photonics";journal;"23046732";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,558;Q2;51;590;319;26395;889;301;2,75;44,74;25,69;2;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2014-2026";"Atomic and Molecular Physics, and Optics (Q2); Instrumentation (Q2); Radiology, Nuclear Medicine and Imaging (Q2)";"Medicine; Physics and Astronomy"
8949;16531;"Physiological and Molecular Plant Pathology";journal;"10961178, 08855765";"Academic Press";No;No;0,558;Q2;96;131;259;7730;760;256;2,87;59,01;40,70;4;United States;Northern America;"Academic Press";"1986-2026";"Plant Science (Q2); Genetics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
8950;14343;"Theoretical Population Biology";journal;"00405809, 10960325";"Academic Press Inc.";No;No;0,558;Q2;102;30;192;1516;237;163;1,16;50,53;25,35;0;United States;Northern America;"Academic Press Inc.";"1970-2026";"Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
8951;27703;"Tohoku Journal of Experimental Medicine";journal;"13493329, 00408727";"Tohoku University Medical Press";Yes;No;0,558;Q2;74;106;305;3285;792;301;2,60;30,99;29,60;4;Japan;Asiatic Region;"Tohoku University Medical Press";"1920-1945, 1947-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
8952;28416;"Science of Computer Programming";journal;"01676423";"Elsevier B.V.";No;No;0,558;Q3;71;74;292;2841;449;269;1,53;38,39;21,23;2;Netherlands;Western Europe;"Elsevier B.V.";"1981-2026";"Software (Q3)";"Computer Science"
8953;21100465064;"International Journal of Health Economics and Management";journal;"21999023, 21999031";"Springer Science + Business Media";No;No;0,557;Q1;22;20;60;846;135;60;1,85;42,30;24,53;9;United States;Northern America;"Springer Science + Business Media";"2015-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Health Policy (Q2)";"Economics, Econometrics and Finance; Medicine"
8954;21100447114;"Iranian Journal of Language Teaching Research";journal;"23221291";"Urmia University";Yes;Yes;0,557;Q1;24;28;66;1047;106;60;1,69;37,39;24,44;0;Iran;Middle East;"Urmia University";"2013-2025";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
8955;5700164344;"Youth Justice";journal;"14732254, 17476283";"SAGE Publications Inc.";No;No;0,557;Q1;41;18;54;1089;92;46;1,35;60,50;53,66;5;United States;Northern America;"SAGE Publications Inc.";"2001-2026";"Law (Q1); Developmental and Educational Psychology (Q2)";"Psychology; Social Sciences"
8956;5600153399;"Communication Studies";journal;"17451035, 10510974";"Taylor and Francis Ltd.";Yes;No;0,557;Q2;61;69;136;3520;298;131;2,14;51,01;55,42;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2026";"Communication (Q2)";"Social Sciences"
8957;21100886391;"Computers";journal;"2073431X";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,557;Q2;63;169;262;7772;769;256;2,84;45,99;24,68;9;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2012-2026";"Computer Networks and Communications (Q2); Human-Computer Interaction (Q3)";"Computer Science"
8958;21101041408;"Evolutionary Psychological Science";journal;"21989885";"Springer Nature";No;No;0,557;Q2;26;37;125;2350;198;124;1,74;63,51;44,55;1;Switzerland;Western Europe;"Springer Nature";"2015-2026";"Social Psychology (Q2)";"Psychology"
8959;21100464738;"Interdisciplinary Topics in Gerontology and Geriatrics";journal;"22973486, 22973508";"S. Karger AG";No;No;0,557;Q2;17;0;16;0;44;15;2,75;0,00;0,00;0;Switzerland;Western Europe;"S. Karger AG";"2015-2016, 2020";"Medicine (miscellaneous) (Q2); Aging (Q3); Geriatrics and Gerontology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
8960;5000154502;"International Journal of Medical Robotics and Computer Assisted Surgery";journal;"1478596X, 14785951";"John Wiley and Sons Ltd";No;No;0,557;Q2;72;159;288;5357;970;288;3,18;33,69;22,62;17;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2004-2026";"Biophysics (Q2); Computer Science Applications (Q2); Surgery (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
8961;24172;"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences";journal;"1873376X, 15700232";"Elsevier B.V.";No;No;0,557;Q2;174;393;1299;14588;4308;1291;3,26;37,12;42,22;6;Netherlands;Western Europe;"Elsevier B.V.";"2002-2026";"Analytical Chemistry (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Cell Biology (Q3); Clinical Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
8962;19168;"Journal of Dynamical and Control Systems";journal;"15738698, 10792724";"Springer New York";No;No;0,557;Q2;45;45;114;912;170;114;1,53;20,27;36,47;0;United States;Northern America;"Springer New York";"1995-2026";"Algebra and Number Theory (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Numerical Analysis (Q3)";"Engineering; Mathematics"
8963;11700154308;"Limnology and Oceanography Bulletin";journal;"1539607X, 15396088";"Wiley-Blackwell";No;No;0,557;Q2;18;22;129;248;98;36;0,75;11,27;47,62;0;United States;Northern America;"Wiley-Blackwell";"2001-2005, 2007-2026";"Aquatic Science (Q2); Oceanography (Q2); Water Science and Technology (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
8964;21223;"Machining Science and Technology";journal;"10910344, 15322483";"Taylor and Francis Ltd.";No;No;0,557;Q2;68;25;151;1269;370;151;2,29;50,76;13,43;0;United States;Northern America;"Taylor and Francis Ltd.";"1997-2026";"Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2)";"Engineering; Materials Science"
8965;28701;"Mathematical Physics Analysis and Geometry";journal;"13850172, 15729656";"Springer Netherlands";No;No;0,557;Q2;30;40;110;1166;113;110;1,03;29,15;15,58;0;Netherlands;Western Europe;"Springer Netherlands";"1998-2026";"Geometry and Topology (Q2); Mathematical Physics (Q2)";"Mathematics"
8966;21100199110;"Orthopaedic Surgery";journal;"17577853, 17577861";"Sociedade Brasileira de Matematica Aplicada e Computacional";Yes;No;0,557;Q2;53;283;429;8824;1163;426;2,62;31,18;26,50;10;Brazil;Latin America;"Sociedade Brasileira de Matematica Aplicada e Computacional";"2009-2026";"Orthopedics and Sports Medicine (Q2); Surgery (Q2)";"Medicine"
8967;23336;"Primates";journal;"00328332, 16107365";"Springer";No;No;0,557;Q2;65;98;204;5341;379;182;1,80;54,50;43,40;3;Japan;Asiatic Region;"Springer";"1957-1961, 1963-2026";"Animal Science and Zoology (Q2)";"Agricultural and Biological Sciences"
8968;21100894507;"Smart Health";journal;"23526483";"Elsevier B.V.";Yes;No;0,557;Q2;29;38;89;1534;280;85;2,83;40,37;29,03;1;Netherlands;Western Europe;"Elsevier B.V.";"2017-2025";"Computer Science Applications (Q2); Information Systems (Q2); Medicine (miscellaneous) (Q2); Health Informatics (Q3); Health Information Management (Q3)";"Computer Science; Health Professions; Medicine"
8969;25326;"Solid State Sciences";journal;"12932558";"Elsevier Masson s.r.l.";Yes;No;0,557;Q2;116;172;743;8120;2417;742;3,48;47,21;31,42;0;France;Western Europe;"Elsevier Masson s.r.l.";"1999-2026";"Chemistry (miscellaneous) (Q2); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2)";"Chemistry; Materials Science; Physics and Astronomy"
8970;26489;"Starch/Staerke";journal;"00389056, 1521379X";"Wiley-VCH Verlag";No;No;0,557;Q2;112;177;414;8364;1251;405;2,72;47,25;44,35;0;Germany;Western Europe;"Wiley-VCH Verlag";"1949-1959, 1961-2026";"Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry"
8971;4700151916;"Zootaxa";journal;"11755334, 11755326";"Magnolia Press";No;No;0,557;Q2;115;2308;7179;94364;7831;6595;1,05;40,89;28,72;51;New Zealand;Pacific Region;"Magnolia Press";"2005-2026";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
8972;19700201138;"Journal of Global Infectious Diseases";journal;"0974777X, 09748245";"Wolters Kluwer Medknow Publications";Yes;No;0,557;Q3;39;57;144;841;273;99;2,10;14,75;47,98;3;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2009, 2011-2025";"Infectious Diseases (Q3)";"Medicine"
8973;19105;"Agricultural and Forest Entomology";journal;"14619555, 14619563";"Wiley-Blackwell Publishing Ltd";No;No;0,556;Q1;71;57;145;3364;370;145;2,50;59,02;37,05;12;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2026";"Forestry (Q1); Agronomy and Crop Science (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
8974;7600153113;"Breastfeeding Medicine";journal;"15568253, 15568342";"Mary Ann Liebert Inc.";No;No;0,556;Q1;67;162;453;4498;869;361;1,79;27,77;72,01;39;United States;Northern America;"Mary Ann Liebert Inc.";"2006-2026";"Maternity and Midwifery (Q1); Pediatrics (Q1); Health Policy (Q2); Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)";"Medicine; Nursing"
8975;144739;"Facilities";journal;"02632772";"Emerald Group Publishing Ltd.";No;No;0,556;Q1;63;45;165;2150;425;162;2,61;47,78;34,82;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2026";"Architecture (Q1); Building and Construction (Q2); Human Factors and Ergonomics (Q2)";"Engineering; Social Sciences"
8976;21100922650;"Global Bioethics";journal;"11287462, 15917398";"Routledge";Yes;No;0,556;Q1;17;8;24;508;60;23;2,29;63,50;45,45;0;United States;Northern America;"Routledge";"1996-2009, 2011, 2014-2025";"Philosophy (Q1); Health Policy (Q2); Health (social science) (Q2)";"Arts and Humanities; Medicine; Social Sciences"
8977;21101046224;"Human Geography (United Kingdom)";journal;"19427786, 2633674X";"SAGE Publications Inc.";No;No;0,556;Q1;30;37;77;1716;117;72;1,82;46,38;23,91;4;United States;Northern America;"SAGE Publications Inc.";"2008-2026";"Philosophy (Q1); Geography, Planning and Development (Q2)";"Arts and Humanities; Social Sciences"
8978;100147033;"Journal of Competition Law and Economics";journal;"17446422, 17446414";"Oxford University Press";No;No;0,556;Q1;37;28;39;2385;56;39;1,27;85,18;14,00;9;United Kingdom;Western Europe;"Oxford University Press";"2005-2025";"Law (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Social Sciences"
8979;12100156480;"Music Theory Spectrum";journal;"01956167, 15338339";"Oxford University Press";No;No;0,556;Q1;30;19;46;899;41;46;0,63;47,32;30,00;1;United States;Northern America;"Oxford University Press";"1981-1994, 1996-2025";"Music (Q1)";"Arts and Humanities"
8980;24624;"Bulletin of Environmental Contamination and Toxicology";journal;"00074861, 14320800";"Springer";No;No;0,556;Q2;97;317;779;11738;2089;771;2,64;37,03;41,15;15;United States;Northern America;"Springer";"1966-2026";"Medicine (miscellaneous) (Q2); Pollution (Q2); Health, Toxicology and Mutagenesis (Q3); Toxicology (Q3)";"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
8981;19700201640;"Cholesterol";journal;"20901283, 20901291";"Hindawi Publishing Corporation";Yes;No;0,556;Q2;27;0;6;0;31;6;0,00;0,00;0,00;0;United States;Northern America;"Hindawi Publishing Corporation";"2010-2018";"Internal Medicine (Q2); Organic Chemistry (Q2); Endocrinology, Diabetes and Metabolism (Q3); Hematology (Q3)";"Chemistry; Medicine"
8982;20830;"Health (United Kingdom)";journal;"13634593, 14617196";"SAGE Publications Ltd";No;No;0,556;Q2;68;43;113;2166;256;111;2,30;50,37;71,19;10;United Kingdom;Western Europe;"SAGE Publications Ltd";"1946-1948, 1973-1976, 1997-2026";"Health (social science) (Q2)";"Social Sciences"
8983;23176;"Indagationes Mathematicae";journal;"00193577";"Elsevier B.V.";No;No;0,556;Q2;38;70;231;1781;241;229;0,77;25,44;13,33;0;Netherlands;Western Europe;"Elsevier B.V.";"1969, 1972-2009, 2011-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
8984;25659;"Journal of Navigation";journal;"03734633, 14697785";"Cambridge University Press";No;No;0,556;Q2;74;87;269;2995;763;266;3,05;34,43;27,87;0;United Kingdom;Western Europe;"Cambridge University Press";"1948-2025";"Ocean Engineering (Q2); Oceanography (Q2)";"Earth and Planetary Sciences; Engineering"
8985;12240;"Journal of Orthopaedic Science";journal;"14362023, 09492658";"Elsevier B.V.";No;No;0,556;Q2;90;192;584;4569;1160;562;1,68;23,80;10,79;8;Netherlands;Western Europe;"Elsevier B.V.";"1961-1963, 1996-2026";"Orthopedics and Sports Medicine (Q2); Surgery (Q2)";"Medicine"
8986;29010;"Journal of Regulatory Economics";journal;"15730468, 0922680X";"Springer Netherlands";No;No;0,556;Q2;63;22;72;838;107;72;1,36;38,09;28,00;3;Netherlands;Western Europe;"Springer Netherlands";"1989-2026";"Economics and Econometrics (Q2)";"Economics, Econometrics and Finance"
8987;79889;"Journal of Sea Research";journal;"13851101";"Elsevier B.V.";Yes;No;0,556;Q2;94;61;268;3816;582;265;2,23;62,56;43,59;6;Netherlands;Western Europe;"Elsevier B.V.";"1996-2026";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
8988;25221;"New York Journal of Mathematics";journal;"10769803";"University at Albany";Yes;Yes;0,556;Q2;33;61;177;1467;108;176;0,66;24,05;18,33;0;United States;Northern America;"University at Albany";"1996-2026";"Mathematics (miscellaneous) (Q2)";"Mathematics"
8989;21100244860;"Opuscula Philolichenum";journal;"19417527, 19417519";"New York Botanical Garden";No;No;0,556;Q2;15;12;38;1663;65;38;1,70;138,58;34,38;1;United States;Northern America;"New York Botanical Garden";"2013-2025";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences"
8990;19700182697;"Risk Management and Healthcare Policy";journal;"11791594";"Dove Medical Press Ltd";Yes;No;0,556;Q2;58;465;376;18619;1113;362;2,79;40,04;41,18;0;New Zealand;Pacific Region;"Dove Medical Press Ltd";"2009-2026";"Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2)";"Medicine"
8991;21100218522;"Biologically Inspired Cognitive Architectures";journal;"2212683X";"Elsevier B.V.";No;No;0,556;Q3;0;0;0;0;0;0;0,00;0,00;0,00;0;Netherlands;Western Europe;"Elsevier B.V.";"2012-2018";"Artificial Intelligence (Q3); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)";"Computer Science; Neuroscience; Psychology"
8992;4700152463;"International Journal of Constitutional Law";journal;"14742659, 14742640";"Oxford University Press";No;No;0,555;Q1;59;110;197;5979;320;184;1,45;54,35;39,26;13;United Kingdom;Western Europe;"Oxford University Press";"2003, 2005-2025";"Law (Q1)";"Social Sciences"
8993;4000148503;"International Journal of Environmental Science and Technology";journal;"17351472, 17352630";"";No;No;0,555;Q1;118;306;1408;16356;4929;1406;3,56;53,45;31,77;11;Germany;Western Europe;"";"2004-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Environmental Engineering (Q2); Environmental Chemistry (Q3)";"Agricultural and Biological Sciences; Environmental Science"
8994;19700169883;"Journal of Latin American and Caribbean Anthropology";journal;"19354932, 19354940";"Wiley-Blackwell";No;No;0,555;Q1;25;24;118;1163;113;106;0,99;48,46;53,85;0;United States;Northern America;"Wiley-Blackwell";"1976, 2010-2026";"Anthropology (Q1)";"Social Sciences"
8995;19700170190;"Journal of Men's Studies";journal;"10608265, 19330251";"SAGE Publications Inc.";No;No;0,555;Q1;27;22;53;1177;108;53;2,06;53,50;66,00;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"2008, 2012-2026";"Cultural Studies (Q1); Gender Studies (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
8996;13035;"Annals of Human Biology";journal;"03014460, 14645033";"Informa Healthcare";Yes;No;0,555;Q2;73;78;236;3855;415;219;1,63;49,42;49,33;1;United Kingdom;Western Europe;"Informa Healthcare";"1974-2026";"Public Health, Environmental and Occupational Health (Q2); Aging (Q3); Epidemiology (Q3); Genetics (Q3); Physiology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
8997;5700168957;"Educational Action Research";journal;"17475074, 09650792";"Routledge";No;No;0,555;Q2;53;47;157;2082;232;141;1,38;44,30;68,37;6;United Kingdom;Western Europe;"Routledge";"1993-2026";"Education (Q2)";"Social Sciences"
8998;21100858473;"Injury Epidemiology";journal;"21971714";"BioMed Central Ltd";Yes;No;0,555;Q2;38;72;160;2416;326;155;1,66;33,56;56,60;24;United Kingdom;Western Europe;"BioMed Central Ltd";"2014-2026";"Medicine (miscellaneous) (Q2)";"Medicine"
8999;20968;"Journal of Heat Transfer";journal;"15288943, 00221481";"American Society of Mechanical Engineers (ASME)";No;No;0,555;Q2;0;0;0;0;0;0;0,00;0,00;0,00;0;United States;Northern America;"American Society of Mechanical Engineers (ASME)";"1945, 1959-2022";"Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2)";"Engineering; Materials Science; Physics and Astronomy"
9000;21101041512;"Medicine in Microecology";journal;"25900978";"Elsevier B.V.";Yes;No;0,555;Q2;17;17;22;1027;72;21;3,27;60,41;45,19;0;Netherlands;Western Europe;"Elsevier B.V.";"2019-2026";"Medicine (miscellaneous) (Q2); Gastroenterology (Q3); Immunology and Allergy (Q3); Rheumatology (Q3)";"Medicine"
9001;14456;"Polymer International";journal;"10970126, 09598103";"John Wiley and Sons Ltd";No;No;0,555;Q2;131;186;535;10140;1750;523;3,50;54,52;32,14;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1991-2026";"Materials Chemistry (Q2); Organic Chemistry (Q2); Polymers and Plastics (Q2)";"Chemistry; Materials Science"
9002;21101039769;"Precision Clinical Medicine";journal;"25161571, 20965303";"Oxford University Press";Yes;Yes;0,555;Q2;29;32;83;1770;534;74;7,09;55,31;42,86;1;United Kingdom;Western Europe;"Oxford University Press";"2018-2026";"Medicine (miscellaneous) (Q2)";"Medicine"
9003;22299;"Therapeutic Drug Monitoring";journal;"15363694, 01634356";"Lippincott Williams and Wilkins";No;No;0,555;Q2;108;106;336;4360;1057;305;3,04;41,13;39,86;0;United States;Northern America;"Lippincott Williams and Wilkins";"1979-2026";"Pharmacology (medical) (Q2); Pharmacology (Q3)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
9004;29825;"Rejuvenation Research";journal;"15578577, 15491684";"Mary Ann Liebert Inc.";No;No;0,555;Q3;76;60;203;2329;530;168;2,50;38,82;40,38;1;United States;Northern America;"Mary Ann Liebert Inc.";"2000-2001, 2004-2026";"Aging (Q3); Geriatrics and Gerontology (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9005;21100241601;"Toxicology Research";journal;"2045452X, 20454538";"Oxford University Press";No;No;0,555;Q3;59;139;283;6399;907;280;2,69;46,04;46,88;10;United Kingdom;Western Europe;"Oxford University Press";"2012-2026";"Health, Toxicology and Mutagenesis (Q3); Toxicology (Q3)";"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
